Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
hyundai,Hyundai i10,silber,04/2021,2021,14490,49,67,Schaltgetriebe,Benzin,4.8,11400.0,1.0 Trend *Lenkrdhzg*Sitzhzg*Spurhalte*PDC*,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLS 350,grau,06/2016,2016,31990,190,258,Automatik,Diesel,6.2,119000.0,CLS Shooting Brake 4Matic Distr./Multib./Sitzkli,Gebrauchtwagen
seat,SEAT Mii,silber,09/2016,2016,7480,44,60,Schaltgetriebe,Benzin,4.5,36900.0,1.0 KLIMA 1.HAND Scheckheft TÜV NEU,Gebrauchtwagen
seat,SEAT Leon,blau,08/2017,2017,16990,110,150,Automatik,Benzin,4.7,80016.0,ST FR 1.4 TSI DSG Navi LED SHZ PDC vo.+hi.,Gebrauchtwagen
audi,Audi Q5,blau,05/2013,2013,21440,132,179,Schaltgetriebe,Benzin,7.5,92000.0,2.0TFSI qu AHK Pano Xenon plus Sitzh Klimaaut,Gebrauchtwagen
volvo,Volvo XC60,grau,03/2021,2021,45800,145,197,Automatik,Diesel,5.5,52160.0,B4 Autom. AWD R-Design +PANO+LED+NAVI+MET.+  Navi,junger Gebrauchtwagen
opel,Opel Corsa,braun,02/2015,2015,6950,66,90,Schaltgetriebe,Benzin,5.2,120500.0,Color Edition E,Gebrauchtwagen
seat,SEAT Leon,rot,06/2018,2018,17990,135,184,Schaltgetriebe,Diesel,4.6,108656.0,ST FR Sportline Performance Paket,Gebrauchtwagen
renault,Renault Megane,blau,12/2001,2001,2999,79,107,Schaltgetriebe,Benzin,7.2,170000.0,Grandtour Leder+Klima+TUV neu+NR35,Gebrauchtwagen
ford,Ford Fiesta,schwarz,05/2010,2010,5300,60,82,Schaltgetriebe,Benzin,5.6,154000.0,1.25 Trend,Gebrauchtwagen
seat,SEAT Leon,silber,08/2018,2018,16990,110,150,Automatik,Diesel,4.9,98129.0,ST Style 4Drive Full-LED Navi ACC TOUCH BT,Gebrauchtwagen
mazda,Mazda,grau,04/2019,2019,18890,85,116,Schaltgetriebe,Diesel,4.2,87960.0,M3 SKY-D115  Selection  Design-/Activsense-Paket/B,Gebrauchtwagen
bmw,BMW 135,schwarz,11/2022,2022,48990,225,306,Automatik,Benzin,7.6,7490.0,i xDrive MPerformance/Premium/Convenience/Travel,junger Gebrauchtwagen
volkswagen,Volkswagen Touran,weiß,01/2011,2011,8000,77,105,Schaltgetriebe,Diesel,5.1,211100.0,"Pritsche,4 Motion,lang",Gebrauchtwagen
audi,Audi SQ7,blau,09/2019,2019,75950,320,435,Automatik,Diesel,9.1,124504.0,TDi 22Z./PANO/S-SITZE/HuD/StHz./7-SITZER/360,Gebrauchtwagen
volvo,Volvo XC60,grau,09/2020,2020,46290,145,197,Automatik,Diesel,5.5,19800.0,B4 AWD Inscription*Xenium*IntelliSafePro*,junger Gebrauchtwagen
volkswagen,Volkswagen Touareg,silber,12/2018,2018,44490,210,286,Automatik,Diesel,7.9,76500.0,3.0 TDI V6 4M Elegance Navi. AHK. StandHZ,Gebrauchtwagen
mercedes-benz,Mercedes-Benz X 350,weiß,02/2020,2020,90990,190,258,Automatik,Diesel,8.4,99849.0,d 4Matic MAYBACH UMBAU / 360° / LED,junger Gebrauchtwagen
toyota,Toyota Auris,weiß,07/2017,2017,12990,73,99,Schaltgetriebe,Benzin,5.6,59144.0,*WASSERSTOFF* *LEDER*NAVI*JBL*ACC*LED*SHZ,Gebrauchtwagen
mercedes-benz,Mercedes-Benz B 180,weiß,08/2012,2012,14450,80,109,Schaltgetriebe,Diesel,4.4,119347.0,CDI (BlueEFFICIENCY) *COMAND*Pano*RFK*AHK*,Gebrauchtwagen
volkswagen,Volkswagen Crafter,blau,10/2010,2010,11300,65,88,Schaltgetriebe,Diesel,10.7,167000.0,Doka Pritsche 7 Sitzer TDI PDF,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,silber,01/2012,2012,16950,135,184,Automatik,Benzin,6.4,140000.0,BlueEFFICIENCY Roadster*1.Hand*Panorama*TÜV NEU,Gebrauchtwagen
audi,Audi Q2,rot,08/2017,2017,19990,85,116,Schaltgetriebe,Benzin,5.1,18940.0,1.0 TFSI ultra,Gebrauchtwagen
mercedes-benz,Mercedes-Benz V 300,schwarz,07/2022,2022,76088,174,237,Automatik,Diesel,8.0,22044.0,d *AVANTGARDE*STANDHZG*LED*LEDER*8SITZER* Navi,junger Gebrauchtwagen
skoda,Skoda Rapid/Spaceback,schwarz,07/2018,2018,13990,70,95,Schaltgetriebe,Benzin,4.5,34850.0,Spaceback Ambition,Gebrauchtwagen
audi,Audi Q5,schwarz,04/2018,2018,47970,210,286,Automatik,Diesel,5.7,82500.0,3.0 TDIquattro Matrix+PANO+LEDER+NAVI+Ambiente,Gebrauchtwagen
ford,Ford Focus,schwarz,06/2013,2013,27000,92,125,Schaltgetriebe,Benzin,5.0,99999.0,Lim. Titanium *ZAHNRIEMEN NEU*TEMPOMAT*NAVI*PDC*,Gebrauchtwagen
skoda,Skoda Kodiaq,weiß,04/2018,2018,30567,140,190,Automatik,Diesel,5.7,66785.0,2.0 TDI 4x4 DSG Style,Gebrauchtwagen
peugeot,Peugeot 207,schwarz,05/2008,2008,7990,88,120,Automatik,Benzin,7.4,111700.0,CC Cabrio-Coupe Sport Klimaaut. Sitzh. Leder,Gebrauchtwagen
seat,SEAT Ibiza,schwarz,03/2013,2013,5990,51,69,Schaltgetriebe,Benzin,5.5,118000.0,ST Reference*KLIMA*E-FENSTER*ISOFIX*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 220,schwarz,04/2005,2005,4950,110,150,Automatik,Diesel,7.1,222000.0,E 220 T CDI Automatik Classic DPF,Gebrauchtwagen
skoda,Skoda Superb,rot,06/2019,2019,27899,110,150,Automatik,Diesel,5.6,49300.0,2.0 TDI SportLine NAVI ACC AHK Xenon PDC,Gebrauchtwagen
bmw,BMW 435,schwarz,10/2014,2014,22400,230,313,Automatik,Diesel,5.7,175000.0,435d Gran Coupé*xDrive*M-Paket*ACC*Head-Up*H&K*,Gebrauchtwagen
volvo,Volvo XC90,weiß,04/2019,2019,54900,173,235,Automatik,Diesel,6.2,67200.0,D5 AWD Geartr. R-DESIGN - AHK - 360 - Pano - Luftf,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 200,silber,04/2016,2016,20990,115,156,Automatik,Benzin,5.8,80500.0,BI-XENON*KAMERA*19 ZOLL,Gebrauchtwagen
skoda,Skoda Scala,weiß,11/2020,2020,24371,85,116,Automatik,Benzin,5.1,10.0,Style DSG KESSY SHZ RFK PDC v+h FULL LED 1.0 TS...,junger Gebrauchtwagen
kia,Kia Ceed SW / cee'd SW,weiß,07/2016,2016,15500,99,135,Schaltgetriebe,Benzin,6.3,68000.0,Ceed 1.6 GDI SW Platinum Edition,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 250,weiß,09/2017,2017,33950,150,204,Automatik,Diesel,5.0,36800.0,d 4Matic Exclusive Panoramadach FLA,Gebrauchtwagen
opel,Opel Corsa,blau,01/2019,2019,11446,74,101,Schaltgetriebe,Benzin,6.6,7765.0,E 1.4 120 Jahre Sitz-/Lenkh BFS PDC Kamera,Gebrauchtwagen
opel,Opel Crossland,orange,01/2021,2021,20490,96,131,Automatik,Benzin,5.0,11103.0,Innovation 130 Automatik Navi Kamera,junger Gebrauchtwagen
volkswagen,Volkswagen Passat,schwarz,11/2014,2014,14500,110,150,Schaltgetriebe,Benzin,4.9,143000.0,1.4 TSI ACT (BlueMotion Technology) Comfortline,Gebrauchtwagen
bmw,BMW M850,blau,12/2018,2018,66188,390,530,Automatik,Benzin,9.7,51990.0,i Coupe xDrive Laser Nav HuD HK Kam360 SHZ,Gebrauchtwagen
skoda,Skoda Rapid/Spaceback,blau,04/2018,2018,11490,70,95,Schaltgetriebe,Benzin,4.5,103205.0,Spaceback Ambition,Gebrauchtwagen
audi,Audi A5,grün,08/2018,2018,32980,110,150,Automatik,Diesel,4.5,50089.0,Cabriolet 2.0 TDI Alu XenonPlus Klima Sitzh. PD,Gebrauchtwagen
kia,Kia Ceed / cee'd,weiß,12/2016,2016,9400,100,136,Schaltgetriebe,Diesel,3.8,152800.0,1.6 CRDi Dream Team *Navi* Kamera*Winterp,Gebrauchtwagen
renault,Renault Twingo,blau,09/2018,2018,10490,51,69,Schaltgetriebe,Benzin,5.0,14797.0,1.0  70 Life*ALLWETTER*KLIMA*RADIO*BLUETOOTH*USB*,Gebrauchtwagen
mini,MINI Cooper,weiß,03/2023,2023,32750,100,136,Automatik,Benzin,5.8,10.0,3-Türer ~sofort verfügbar~*DAB*LED*Panorama Dach*,Neuwagen
skoda,Skoda Fabia,weiß,05/2018,2018,14990,81,110,Schaltgetriebe,Benzin,4.3,56818.0,Combi Clever Climatronic ACC Tempomat PDC,Gebrauchtwagen
bmw,BMW 520,blau,10/2019,2019,26989,140,190,Automatik,Diesel,5.1,72110.0,d xDrive Business-Paket|LED|Navigation|SHZ,Gebrauchtwagen
ford,Ford Mondeo,silber,03/2020,2020,14979,110,150,Automatik,Diesel,5.1,149950.0,2.0 Business FRONT+LANE+NAVI+GRA+ALU+AHK,junger Gebrauchtwagen
bmw,BMW M2,orange,07/2019,2019,54490,302,411,Automatik,Benzin,9.8,16712.0,Coupe Competition NAVI-LEDER-KAM-LED-TOTWINKE,Gebrauchtwagen
opel,Opel Astra,schwarz,09/2016,2016,9700,81,110,Schaltgetriebe,Diesel,3.6,85880.0,1.6 D (CDTI) Innovation,Gebrauchtwagen
skoda,Skoda Superb,weiß,06/2018,2018,18900,110,150,Automatik,Diesel,4.4,123950.0,Lim. Ambition 1-Hand EU6 DSG Bi-Xenon,Gebrauchtwagen
volvo,Volvo XC90,schwarz,10/2018,2018,15990,173,235,Automatik,Diesel,6.0,66500.0,D5 AWD Geartronic Momentum 7 sitzer Panorama leder,Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,silber,10/2017,2017,16900,81,110,Schaltgetriebe,Benzin,5.1,145716.0,1.2 TSI Sound,Gebrauchtwagen
volvo,Volvo V60,rot,12/2018,2018,20500,140,190,Schaltgetriebe,Diesel,4.4,89397.0,Momentum Navi LED VIRTUAL Winter-Paket PDC,Gebrauchtwagen
volkswagen,Volkswagen T6 California,weiß,06/2017,2017,52950,110,150,Automatik,Diesel,6.5,82000.0,Beach 4Motion*Navi*Standheizung,Gebrauchtwagen
hyundai,Hyundai iX35,grau,11/2011,2011,8600,99,135,Schaltgetriebe,Benzin,6.8,114350.0,1.6 Comfort 2WD*AHK*PDC*Scheckheft,Gebrauchtwagen
toyota,Toyota Aygo X,beige,12/2022,2022,17890,53,72,Schaltgetriebe,Benzin,4.7,2500.0,Pulse 1.0*CARPLAY*CAM*TEMPOMAT*KLIMA*,junger Gebrauchtwagen
mazda,Mazda CX-5,grau,03/2023,2023,42950,143,194,Automatik,Benzin,7.6,2302.0,2.5i 194PS A/T AWD TAKUMI,Jahreswagen
ford,Ford S-Max,schwarz,03/2012,2012,10999,120,163,Automatik,Diesel,6.0,197000.0,2.0 TDCi Aut. Titanium Leder/Navi/Xen/Pano,Gebrauchtwagen
fiat,Fiat Tipo,grau,05/2019,2019,12500,70,95,Schaltgetriebe,Benzin,6.6,28000.0,1.4 16V Lounge,Gebrauchtwagen
bmw,BMW 318,schwarz,10/2009,2009,7200,105,143,Schaltgetriebe,Diesel,4.8,186500.0,d Touring (E91),Gebrauchtwagen
seat,SEAT Ibiza,schwarz,01/2023,2023,23990,81,110,Schaltgetriebe,Benzin,4.7,8.0,FR 1.0 TSI LED Navi SHZ Kam ACC VC,Neuwagen
peugeot,Peugeot 208,grau,08/2022,2022,24390,74,101,Schaltgetriebe,Benzin,5.3,4500.0,PureTech 100 Allure Pack,junger Gebrauchtwagen
audi,Audi Q2,schwarz,08/2017,2017,17990,110,150,Schaltgetriebe,Benzin,5.5,74523.0,basis/TÜV-NEU..,Gebrauchtwagen
volkswagen,Volkswagen Polo,grau,03/2000,2000,1150,37,50,Schaltgetriebe,Benzin,5.9,200000.0,Polo,Gebrauchtwagen
volkswagen,Volkswagen Touran,schwarz,02/2019,2019,29900,140,190,Automatik,Diesel,4.0,109900.0,2.0 TDI DSG R LINE PANO 7 SITZ LED NAVI,Gebrauchtwagen
opel,Opel Mokka X,schwarz,12/2017,2017,15290,103,140,Schaltgetriebe,Benzin,5.9,30634.0,1.4 Turbo Innovation NAVI SHZ PDC KLI,Gebrauchtwagen
skoda,Skoda Kodiaq,schwarz,04/2023,2023,52788,180,245,Automatik,Benzin,7.4,10.0,2.0 TSI RS 4x4 AHK+ASSISTENTEN+El. SITZ+NAVI+LED,Neuwagen
volkswagen,Volkswagen Golf,silber,01/2011,2011,11750,77,105,Automatik,Benzin,5.3,159000.0,Sharan 1.4 TSI DSG BlueMotion Technology Trendline,Gebrauchtwagen
bmw,BMW 135,blau,09/2020,2020,37490,225,306,Automatik,Benzin,7.1,36265.0,I-xDRIVE+NAV+CARPLAY+BUSINESS-P+SHZ+8-FACH!,junger Gebrauchtwagen
audi,Audi A4,silber,11/2019,2019,31930,140,190,Automatik,Diesel,5.9,84275.0,40 TDI Quattro Advanced LED/Standh./DAB,Gebrauchtwagen
hyundai,Hyundai i20,weiß,08/2016,2016,10890,55,75,Schaltgetriebe,Benzin,5.1,54100.0,"blue Classic Klima/Pioneer DAB/Fin. ab 3,99%",Gebrauchtwagen
bmw,BMW X1,schwarz,12/2013,2013,17400,160,218,Automatik,Diesel,5.9,145000.0,xDrive 25d|BIXENON|PDC|SHZ|PANO|NAVI|BT|,Gebrauchtwagen
seat,SEAT Alhambra,silber,04/2020,2020,31888,110,150,Schaltgetriebe,Benzin,7.1,58200.0,Style 1.4 TSI 7 Sitze Navi ACC,junger Gebrauchtwagen
volkswagen,Volkswagen Passat Variant,schwarz,01/2013,2013,9490,103,140,Schaltgetriebe,Diesel,5.3,150000.0,2.0 Blue TDI DSG SCR Comfortline,Gebrauchtwagen
volkswagen,Volkswagen CC,braun,06/2012,2012,13470,118,160,Schaltgetriebe,Benzin,7.1,130136.0,1.8 TSI/BI-XENON/LED/NAVI/SHZ/ALCANTARA/EU5,Gebrauchtwagen
seat,SEAT Arona,rot,09/2020,2020,17990,70,95,Schaltgetriebe,Benzin,4.9,32176.0,Style,junger Gebrauchtwagen
opel,Opel Corsa,blau,12/2003,2003,1500,55,75,Schaltgetriebe,Benzin,6.4,278225.0,1.2 16V Njoy,Gebrauchtwagen
renault,Renault Scenic,weiß,06/2012,2012,11750,81,110,Schaltgetriebe,Benzin,7.4,100000.0,TomTom Edition 1.6 16V 110/KLIMA/AHK/NAVI,Gebrauchtwagen
ford,Ford Tourneo Custom,grau,07/2020,2020,36885,96,131,Schaltgetriebe,Diesel,6.3,53254.0,"Trend 2,0l 320 L2 Navi Sitzheizung Tempomat 8 Sitz",junger Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,blau,02/2018,2018,19960,96,131,Schaltgetriebe,Benzin,5.1,32818.0,1.5 TSI ACT Highline,Gebrauchtwagen
hyundai,Hyundai i30,silber,02/2023,2023,22374,88,120,Schaltgetriebe,Benzin,5.0,12.0,1.0 T-GDI Select *SHZ*LED*Lane Assist*DAB*,Neuwagen
renault,Renault Twingo,gelb,09/2020,2020,11600,68,92,Schaltgetriebe,Benzin,5.0,17075.0,Twingo TCe 90 LIMITED,junger Gebrauchtwagen
opel,Opel Vivaro,schwarz,09/2017,2017,29500,92,125,Schaltgetriebe,Diesel,5.7,105000.0,"B Kombi Combi L2H1  2,9t 8Sitzer",Gebrauchtwagen
ford,Ford Tourneo Custom,weiß,06/2020,2020,44280,136,185,Schaltgetriebe,Diesel,6.3,22585.0,2.0 TDCi 320 L1 Titanium X AHK Navi Kamera,junger Gebrauchtwagen
ford,Ford Edge,rot,09/2019,2019,28910,175,238,Automatik,Diesel,6.8,84229.0,Titanium 2.0 EcoBlue Bi-Turbo 4x4 Aut.,Gebrauchtwagen
volkswagen,Volkswagen T4 Caravelle,blau,08/2002,2002,18000,75,102,Schaltgetriebe,Diesel,7.9,350000.0,Caravelle T4 TDI 7DK2Y2,Gebrauchtwagen
audi,Audi SQ7,blau,10/2016,2016,69950,320,435,Automatik,Diesel,7.6,117500.0,4.0 TDI quattro/Keramik/Pano/B&O/AHK/7-Sitz,Gebrauchtwagen
toyota,Toyota C-HR,rot,02/2017,2017,16499,85,116,Schaltgetriebe,Benzin,6.0,85000.0,Flow ACC~KAMERA~NAVI~NAVI~85000KM,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 250,grau,01/2016,2016,30480,155,211,Automatik,Benzin,6.5,91833.0,Exclusive 4MATIC NAVI STANDHZ LED KLI,Gebrauchtwagen
volkswagen,Volkswagen T6 Multivan,beige,06/2019,2019,62910,146,199,Automatik,Diesel,8.1,35530.0,DSG Kurz 4MOTION Edition 146 kW,Gebrauchtwagen
ford,Ford Kuga,silber,05/2017,2017,14990,88,120,Schaltgetriebe,Diesel,4.4,124000.0,1.5 TDCi Trend 4x2*SHZ*SRA*PDC*TEMPOMAT*RDK Klima,Gebrauchtwagen
citroen,Citroen C3,schwarz,06/2012,2012,5995,70,95,Schaltgetriebe,Benzin,5.8,46000.0,VTi 120 Exclusive,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,schwarz,12/2007,2007,7600,120,163,Schaltgetriebe,Benzin,8.7,176000.0,SLK 200 Kompressor,Gebrauchtwagen
ford,Ford Ranger,silber,03/2023,2023,47450,156,212,Automatik,Diesel,9.8,35.0,2.0 TDCI 4x4 AT DoKa Wildtrak Rollo / ACC,Jahreswagen
skoda,Skoda Octavia,silber,05/2018,2018,17930,110,150,Schaltgetriebe,Diesel,4.3,83200.0,"Combi Ambition 2,0 TDI Navi PDC GRA AHK",Gebrauchtwagen
skoda,Skoda Kamiq,silber,12/2022,2022,23990,81,110,Schaltgetriebe,Benzin,4.7,14.0,1.0 TSI LED AAC Kam SmartLink,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz V 300,weiß,04/2022,2022,78150,174,237,Automatik,Diesel,7.3,32901.0,d 4M Marco Polo Küche Night Leder Sound,junger Gebrauchtwagen
volvo,Volvo XC60,grau,09/2017,2017,36810,187,254,Automatik,Benzin,7.3,100000.0,T5 Inscription AWD AHK Luftfahrwerk Standheizung V,Gebrauchtwagen
kia,Kia XCeed,schwarz,04/2022,2022,31190,118,160,Automatik,Benzin,6.1,17990.0,Platinum Edition 1.5 T-GDI EU6d 1.5T DCT7 Glasdach,junger Gebrauchtwagen
ford,Ford B-Max,rot,06/2017,2017,10950,70,95,Schaltgetriebe,Diesel,3.8,108980.0,1.5 TDCI SYNC Edition*Cool & Sound-P.*PDC*,Gebrauchtwagen
seat,SEAT Arona,rot,03/2021,2021,19250,70,95,Schaltgetriebe,Diesel,5.0,23790.0,1.6 TDI Style NAVI PDC SH ALU 16,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,schwarz,05/2014,2014,15190,135,184,Schaltgetriebe,Diesel,4.2,189000.0,VII GTD BMT*NAVI*KAMERA*4-Rohr Sport-Abgasa,Gebrauchtwagen
volkswagen,Volkswagen Passat,schwarz,06/2007,2007,2299,110,150,Schaltgetriebe,Benzin,8.2,253000.0,Tour V Lim. (1K1)***ohne TÜV fährt gut!,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SL 500,silber,07/2003,2003,15990,225,306,Automatik,Benzin,12.1,143811.0,CDI T ELEGANCE / DISTRO+ / KEY GO / 7.SITZ / AIRMA,Gebrauchtwagen
audi,Audi A6,schwarz,11/2009,2009,15000,125,170,Automatik,Benzin,7.7,170000.0,A6 2.0 TFSI S-Line multitronic,Gebrauchtwagen
bmw,BMW X2,grau,04/2018,2018,29700,170,231,Automatik,Diesel,5.3,123700.0,xDrive25d M Sport Navi Plus Head-Up AHK LED,Gebrauchtwagen
ford,Ford Transit Connect,weiß,08/2017,2017,22448,88,120,Schaltgetriebe,Diesel,4.6,10650.0,"1,5L Kombi lang+Klima",Gebrauchtwagen
skoda,Skoda Kodiaq,grau,03/2023,2023,22495,110,150,Automatik,Benzin,7.2,10.0,"1.5 TSI DSG Style, Travel, FS- heizbar, Matrix, Na",Neuwagen
bmw,BMW 318,braun,07/2010,2010,6950,105,143,Schaltgetriebe,Diesel,4.5,236770.0,318d DPF Touring Edition Lifestyle,Gebrauchtwagen
opel,Opel Crossland,grau,04/2023,2023,22788,96,131,Automatik,Benzin,6.4,10.0,1.2 Turbo 130 AT Elegance LED SHZ KAM,Neuwagen
volkswagen,Volkswagen Polo,grau,03/2019,2019,25890,70,95,Automatik,Diesel,3.9,37282.0,"VI Highline 1.6 TDI 7-G-DSG PDC, Sitzheizung",Gebrauchtwagen
volkswagen,Volkswagen Golf GTI,rot,12/2020,2020,28860,180,245,Automatik,Benzin,7.4,22162.0,DSG NAVI LED KAMERA SHZ,junger Gebrauchtwagen
kia,Kia Picanto,schwarz,08/2021,2021,12977,62,84,Schaltgetriebe,Benzin,4.5,22500.0,1.2 Dream Team *KLIMA*ALU*SITZHZG*,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,grau,11/2017,2017,17770,96,131,Schaltgetriebe,Benzin,4.8,71250.0,VII 1.5 TSI ACT BlueMotion Sitzheizung Navi Klima,Gebrauchtwagen
renault,Renault Alpine A110,blau,03/2018,2018,81040,185,252,Automatik,Benzin,6.1,26000.0,PREMIERE EDITION bleue alpine,Gebrauchtwagen
volkswagen,Volkswagen Golf,gold,12/2017,2017,18090,96,131,Automatik,Benzin,4.8,39750.0,Golf 1.5 TSI BlueMotion ACT DSG Highline,Gebrauchtwagen
audi,Audi A5,grau,02/2009,2009,34800,132,179,Schaltgetriebe,Benzin,6.2,192000.0,Coupe 2.0 TFSI Sline Sport Leder PDC,Gebrauchtwagen
seat,SEAT Arona,weiß,08/2018,2018,19990,85,116,Schaltgetriebe,Benzin,4.9,25814.0,"Style 1,0 TSI 85 KW Navi",Gebrauchtwagen
opel,Opel Astra,grau,12/2022,2022,28896,96,131,Schaltgetriebe,Diesel,4.5,7500.0,Sports Tourer 1.5 D Elegance *NAVI*AHK*LED,junger Gebrauchtwagen
audi,Audi TTS,gelb,04/2018,2018,37990,228,310,Automatik,Benzin,6.9,60000.0,Roadster neu Inspektion non OPF,Gebrauchtwagen
audi,Audi A3,weiß,06/2023,2023,39890,110,150,Automatik,Benzin,5.7,10.0,Sportback S-Line 35 TFSI * LED ACC NAVI PDC HI....,Neuwagen
porsche,Porsche Panamera,schwarz,05/2016,2016,58900,324,441,Automatik,Benzin,10.3,95000.0,GTS * SCH * Carbon * PDK * Chrono *,Gebrauchtwagen
seat,SEAT Ateca,silber,06/2020,2020,24980,110,150,Automatik,Diesel,5.8,48824.0,2.0 TDI DSG Xcellence,junger Gebrauchtwagen
seat,SEAT Alhambra,grau,05/2019,2019,34900,110,150,Automatik,Diesel,5.3,47200.0,2.0 TDI Xcellence DSG*Navi*Xenon*AHK* Xcellence,Gebrauchtwagen
dacia,Dacia Lodgy,blau,05/2018,2018,13990,75,102,Schaltgetriebe,Benzin,6.1,33324.0,Ambiance.-Klimaa.-Bluetooth.-CD,Gebrauchtwagen
skoda,Skoda Superb,silber,04/2013,2013,7490,103,140,Automatik,Diesel,6.8,246700.0,Combi Ambition *Navi-DSG-AHK 24 Stunden..,Gebrauchtwagen
volkswagen,Volkswagen Sharan,grau,11/2011,2011,13990,125,170,Automatik,Diesel,5.9,160000.0,Highline BMT,Gebrauchtwagen
volkswagen,Volkswagen Golf,rot,07/2021,2021,22900,81,110,Schaltgetriebe,Benzin,4.6,16000.0,"VIII Active 1.0 TSI *LED*VIRTUAL*ACC*16""*",junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz A 170,grau,04/2007,2007,5990,85,116,Schaltgetriebe,Benzin,6.8,150500.0,Avantgarde/Kein Rost/Lückenlss Scheckheft,Gebrauchtwagen
mazda,Mazda 6,violett,02/2018,2018,18550,129,175,Automatik,Diesel,4.9,125000.0,Kombi 2.2 SKYACTIV-D Sports-Line Automatik EU6,Gebrauchtwagen
renault,Renault Clio,schwarz,03/2012,2012,4998,76,103,Schaltgetriebe,Benzin,5.4,169100.0,Grandtour Night & Day l 2.HAND l,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,silber,08/2001,2001,1950,105,143,Automatik,Diesel,6.7,245000.0,CDI C -Klasse Lim. (BM 203),Gebrauchtwagen
ford,Ford Transit Custom,grau,11/2018,2018,32480,96,131,Automatik,Diesel,7.0,82400.0,320 L2H1 VA Autm. Trend,Gebrauchtwagen
opel,Opel Crossland X,orange,09/2021,2021,26990,96,131,Automatik,Benzin,4.9,12900.0,"Crossland ""Facelift"" Elegance +LED+DAB+SHZ+",junger Gebrauchtwagen
bmw,BMW 640,schwarz,02/2014,2014,16100,230,313,Automatik,Diesel,6.0,53000.0,d xDrive Cabrio M Sportpaket / GARANTIE,Gebrauchtwagen
audi,Audi Q5,grau,06/2009,2009,12990,125,170,Automatik,Diesel,6.8,189950.0,"2.0 TDI quattro, Panorama,Xenon,Navi",Gebrauchtwagen
volkswagen,Volkswagen Caddy,weiß,06/2010,2010,7500,75,102,Schaltgetriebe,Benzin,8.3,188000.0,1.6 (5-Si.),Gebrauchtwagen
opel,Opel Insignia,silber,09/2019,2019,14900,125,170,Automatik,Diesel,5.6,146000.0,Sports Tourer *INNOVATION*IntelliLux*,Gebrauchtwagen
opel,Opel Astra,rot,01/2014,2014,3250,81,110,Schaltgetriebe,Diesel,4.5,320000.0,1.7 CDTI DPF Sports Tourer Active,Gebrauchtwagen
ford,Ford Focus,blau,09/2008,2008,4299,92,125,Schaltgetriebe,Benzin,7.0,125000.0,Titanium Lim. (CB4),Gebrauchtwagen
kia,Kia Ceed / cee'd,grau,02/2023,2023,23490,118,160,Schaltgetriebe,Benzin,5.3,5000.0,CEED 1.5 T-GDI VISION *NAVI-PAKET*KOMFORT-PAKET*,Jahreswagen
mercedes-benz,Mercedes-Benz E 200,silber,04/2003,2003,3500,90,122,Automatik,Diesel,5.9,369000.0,CDI Limousine.-Aut.-Xenon-Klimaaut-Tüv Au neu,Gebrauchtwagen
kia,Kia Venga,silber,09/2018,2018,11450,66,90,Schaltgetriebe,Benzin,6.0,126000.0,VENGA DREAM TEAM PANO PDC NAVI SHZ 1.HAND TOP,Gebrauchtwagen
ford,Ford Fusion,blau,05/2006,2006,5940,59,80,Schaltgetriebe,Benzin,6.9,44047.0,Plus (CBK),Gebrauchtwagen
peugeot,Peugeot 3008,silber,01/2023,2023,29990,96,131,Schaltgetriebe,Benzin,5.0,50.0,1.2 PureTech 130 LED Navi SHZ Kamera VC,Jahreswagen
audi,Audi A3,weiß,11/2009,2009,6900,118,160,Schaltgetriebe,Benzin,6.6,218000.0,1.8 TFSI S line Sportpaket plus Sportback (8PA),Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 180,silber,09/2017,2017,21946,115,156,Schaltgetriebe,Benzin,6.0,77400.0,T AVANTG/LED/PTS/NAVI/SHZ/EASYPACK/TEMPOMAT/TW-ASS,Gebrauchtwagen
bmw,BMW 320,silber,12/2008,2008,10750,125,170,Automatik,Benzin,7.0,127157.0,i Garantie* Auto.* Steuerkette Neu* TOP*,Gebrauchtwagen
audi,Audi TT,silber,05/2006,2006,8500,120,163,Schaltgetriebe,Benzin,8.2,143122.0,Cabrio Leder Sitzheizung,Gebrauchtwagen
